i,j,X-Field,Y-Field,R-Field,PredictedX,PredictedY,RealX,RealY,Distortion
-18,-17,-2.34670000E+01,-1.29866000E+01,2.61780000E+01,-5.55424000E+00,-2.95059000E+00,-4.98449000E+00,-2.64792000E+00,-10.26%
-18,-16,-2.34670000E+01,-1.22464000E+01,2.58904000E+01,-5.55424000E+00,-2.77702000E+00,-4.99486000E+00,-2.49734000E+00,-10.07%
-18,-15,-2.34670000E+01,-1.15021000E+01,2.56155000E+01,-5.55424000E+00,-2.60346000E+00,-5.00469000E+00,-2.34586000E+00,-9.89%
-18,-14,-2.34670000E+01,-1.07538000E+01,2.53542000E+01,-5.55424000E+00,-2.42989000E+00,-5.01395000E+00,-2.19352000E+00,-9.73%
-18,-13,-2.34670000E+01,-1.00017000E+01,2.51070000E+01,-5.55424000E+00,-2.25633000E+00,-5.02263000E+00,-2.04037000E+00,-9.57%
-18,-12,-2.34670000E+01,-9.24620000E+00,2.48747000E+01,-5.55424000E+00,-2.08277000E+00,-5.03073000E+00,-1.88646000E+00,-9.43%
-18,-11,-2.34670000E+01,-8.48740000E+00,2.46579000E+01,-5.55424000E+00,-1.90920000E+00,-5.03823000E+00,-1.73183000E+00,-9.29%
-18,-10,-2.34670000E+01,-7.72560000E+00,2.44575000E+01,-5.55424000E+00,-1.73564000E+00,-5.04512000E+00,-1.57654000E+00,-9.17%
-18,-9,-2.34670000E+01,-6.96103000E+00,2.42740000E+01,-5.55424000E+00,-1.56208000E+00,-5.05138000E+00,-1.42065000E+00,-9.05%
-18,-8,-2.34670000E+01,-6.19396000E+00,2.41080000E+01,-5.55424000E+00,-1.38851000E+00,-5.05702000E+00,-1.26421000E+00,-8.95%
-18,-7,-2.34670000E+01,-5.42466000E+00,2.39600000E+01,-5.55424000E+00,-1.21495000E+00,-5.06201000E+00,-1.10728000E+00,-8.86%
